Source,Target
506356858,152604052
40753584,370549931
121816123,123819331
272512825,68603392
129945820,165774689
198236251,158578428
272512825,411732593
29751532,107071727
141212886,341871317
506356858,101576717
128623811,437576180
175158428,89628482
147920309,89530569
144991852,243783434
35953975,318049704
83568283,210776906
83568283,162334011
22013081,156960531
270139938,478821705
128623811,228550804
163298395,98650463
43149723,98650463
139599995,98876195
267599840,177305942
144991852,83568283
185352206,187300168
97981838,141212886
272512825,347339261
34220070,43149723
47259093,22171445
195740854,139599995
123819331,186274805
162042489,68603392
148117617,138475435
137147968,177305942
424341903,22171445
53676194,224304589
160501676,194759959
141986809,478821705
22171445,163488426
148117617,85934256
83568283,325902110
138475435,17880393
272512825,129945820
250281120,382355930
147623823,76718224
170337558,89628482
246024696,97513683
195740854,170337558
170337558,258548369
